,NN,NN.1,NN.2,UU,UU.1,UU.2,pval.UU,padj.UU
SPU_026201,7.44826190700529,7.56609620345309,7.51384175951021,7.58014896541841,7.28531649735508,7.56274729037033,0.799988868968685,0.932680188759589
SPU_026202,5.05524309158931,4.8945366403757,4.76774042510929,4.75049761466336,4.69424928753344,4.94171366629818,0.309206918882634,0.626988191141933
SPU_026200,0.25008504579568,0.21213598363168,0.300333638363563,0.231388746773197,0.213576952620084,0.215556273739916,0.280961024309069,NA
SPU_026203,9.87017279685279,10.0732938611059,10.065149336211,10.1079331705522,9.94679479941687,9.62221322128525,0.373142763439271,0.68101900973577
ENSRNA022744809,-1.48413879696381,-1.49815874930493,-1.48454188667814,-1.49809773328906,-1.49675603123394,-1.49497740294481,0.688735417515606,NA
ENSRNA022744807,-1.00863729062934,-1.06303850945795,-1.06317642564169,-1.06301542713489,-1.06156156903473,-1.05909427610167,0.537751805019016,NA
SPU_026199,13.2759403991032,13.2598283290792,13.2623781265439,13.2330476616672,13.2980975173176,13.4823614736752,0.297961904949278,0.615066891866681
SPU_011437,0,0,0,0,0,0,NA,NA
SPU_026204,0.923478706044005,0.923422864818212,1.01315523955963,0.923525623128827,1.05315796195618,0.955459309013063,0.609954377968376,NA
SPU_026205,8.01589385000462,8.02035343478048,7.99317856850822,7.9098318590911,7.95798300167557,7.91534327247465,0.344031818967957,0.658612752152721
SPU_026198,3.53480362567526,3.46806911424278,3.72027355792622,3.55148962155632,3.43893546694465,3.70325871690998,0.914364386094708,0.973795853297235
SPU_012513,3.34869875627441,3.21077567687207,3.44117137081099,3.36544524355581,3.19054440054731,3.46093871922137,0.93987563344801,0.980787268911704
SPU_028253,2.94672839035817,2.96220567697484,2.81908115823917,2.78697174863285,2.86441732716193,3.02918562567353,0.87354801985841,0.961143237844601
SPU_016318,0,0,0,0,0,0,NA,NA
SPU_008109,3.53750262533818,3.61336284584674,3.57231850596028,3.70078586050057,3.53834247267713,3.47289382247631,0.988084061008642,0.997127762761172
SPU_011725,9.2744879584859,9.22630138187405,9.3331016841988,9.2195750466757,9.01551277808411,8.9346437243621,0.0166061789436871,0.101004577243115
